id,parentId,name,massKg,meanRadiusM,albedo,gm,equatorialRadiusM,densityKgM3,siderealRotationPeriodS,orbitRotationPeriodS,equatorialGravity,escapeVelocityM
2000005,0,Astraea,0.0,53349.5,0.274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2000006,0,Hebe,0.0,92590.0,0.2679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2000007,0,Iris,0.0,99915.0,0.2766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2000008,0,Flora,0.0,73745.5,0.226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2000009,0,Metis,0.0,95000.0,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2000010,0,Hygiea,1.049067903168035e+020,203560.0,0.0717,7000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,
2000011,0,Parthenope,0.0,71443.5,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2000012,0,Victoria,0.0,57543.5,0.163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2000013,0,Egeria,0.0,101318.0,0.07000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2000014,0,Irene,0.0,76000.0,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2000015,0,Eunomia,0.0,115844.5,0.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2000016,0,Psyche,2.292962702638706e+019,113000.0,0.1203,1530000000.0,0.0,0.0,0.0,0.0,0.0,0.0,
2000017,0,Thetis,0.0,42449.5,0.193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2000018,0,Melpomene,0.0,69797.0,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2000019,0,Fortuna,0.0,100000.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2000020,0,Massalia,0.0,67840.0,0.241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2000021,0,Lutetia,0.0,47880.0,0.2212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2000022,0,Kalliope,7.358462006507219e+018,83768.0,0.166,491000000.0,0.0,0.0,0.0,0.0,0.0,0.0,
2000023,0,Thalia,0.0,53765.0,0.2536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2000024,0,Themis,0.0,99000.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2000025,0,Phocaea,0.0,30527.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2000026,0,Proserpina,0.0,47400.0,0.1966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2000027,0,Euterpe,0.0,48000.0,0.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2000028,0,Bellona,0.0,60450.0,0.1763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2000029,0,Amphitrite,0.0,94779.5,0.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2000030,0,Urania,0.0,46393.5,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2000031,0,Euphrosyne,0.0,133540.0,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
